Name,URL,FR,EN
AERIX SYSTEMS,https://aerix-systems.com/,"AERIX SYSTEMS est une entreprise créant et développant les premiers drones omnidirectionnels au monde. Capables de s’orienter dans n’importe quelles directions et orientations de l’espace, nos systemes s’inscrivent dans les marchés de la défense, de la sécurité civile et de l’audiovisuel. Autour de cette nouvelle architecture aérienne, l’entreprise propose un systeme d’abonnement pour l’apres vente, des formations et de l’amélioration continue basée sur l’évolution de l’expérience de vol.","AERIX SYSTEMS is a company creating and developing the world's first omnidirectional drones. Capable of being oriented in any direction and direction of space, our systems are part of the defence, civil security and audiovisual markets. Around this new aerial architecture, the company proposes a subscription system for after-sales, training and continuous improvement based on the evolution of the flying experience."
AERO AFFAIRES,https://aeroaffaires.fr/,"Société de courtage aérien spécialisés en aviation d'affaires ainsi que dans l'organisation de vols cargo, vols de groupe et vols médicalisés.","Air brokerage company specialized in business aviation as well as in the organization of cargo flights, group flights and medical flights.
"
AERO COMPOSITE SERVICES - ACS,https://acsgarons.com,Réparation d'éléments composites dans le secteur aéronautique.,Repair of composite parts in the aeronautical sector.
AERO COMPOSITES SAINTONGE,https://aero-composites.com/,"Depuis 1995, ACS est spécialiste dans la mise en oeuvre de matériaux composites. Francis DEBORDE et son équipe mettent a disposition leurs compétences dans des domaines tels que nautisme, aéronautique, industrie, architecture et BTP. Principales activités: - transformation matériaux composites - maintenance aéronefs légers - service R&D dédié aéronautique dont les principaux projets menés ont été : - le dirigeable lenticulaire ALIZE, - le drone captif RAPACE, - le Green Cri, seul quadrimoteur électrique de voltige au monde Riches d’un savoir-faire acquis grâce aux précédents projets, nos techniciens R&D poursuivent leurs recherches dans le domaine de l’aviation légere a propulsion électrique.","Since 1995, ACS has specialized in composites implementation. Francis DEBORDE, head manager, and his staff provide their skills and knowledge in many areas including boating, aeronautics, industry, architecture and construction work. Main activities: - Processing of all composite materials - Light aircraft maintenance - R&D service specialized in aeronautics. This unit has worked on: - The ALIZE lenticular airship project, - The RAPACE drone, - The Green Cri project, the only four- electric motor aerobatic airplane in the world. Thanks to knowledge acquired with previous projects, our R & D team continues their research in the area of general aviation to electric propulsion."
VENTURI SPACE FRANCE,https://www.venturi.com,conception LTV,LTV design
H55 FRANCE,https://h55.ch/fr/,"Développement, production et support de systeme de propulsion électrique pour l'aviation","Development, production and support of electric propulsion systems for aviation"
GALY,https://www.galy-aero.fr/,"Usinage et contrôle non destructif de pieces circulaires aéro ou autres Capacité d'usinage jusqu'a diametre 1800 mm Spécialiste de l'usinage ""métaux durs"" type René 65, N18, Inco 718, Ti17, TA6V, ... Capacité de contrôle US jusqu'a diametre 1600 mm Certifications SAFRAN, GE, Rolls Royce Principaux clients : SAE, A&D, Otto Fuchs, Forged Solution, Forgital","Machining and non-destructive control of circular aero or other pieces Machining capacity up to diameter 1800 mm Hard metal machining specialist type René 65, N18, Inco 718, Ti17, TA6V, ... US control capacity up to diameter 1600 mm SAFRAN, GE, Rolls Royce Certifications Main customers: SAE, A&D, Otto Fuchs, Forged Solution, Forgital"
EX CREATIO,https://www.excreatio.com/fr,"Développement de la technologie du Morphing Passif. Décarbonation des Transports : Dans le secteur de l'aéronautique et du naval, la décarbonation est un défi majeur. Ex Creatio s'attaque a cette problématique avec des solutions innovantes. Les briques technologiques du Morphing Passif permettent de réduire de maniere significative la consommation d'énergie grâce a une portance augmentée de 53%. Cela se traduit par des économies substantielles de carburant allant de -3% a -5%, ce qui est crucial pour la réduction des émissions de gaz a effet de serre. Production d'Énergies Renouvelables : L'industrie des énergies renouvelables est un autre domaine d'application essentiel du Morphing Passif. Les éoliennes et les hydroliennes sont des moyens cruciaux de production d'énergie propre, mais elles sont confrontées a des défis d'efficacité. Les briques technologiques d'Ex Creatio augmentent considérablement l'efficacité de ces systemes, élargissant ainsi leur champ d'application et leur capacité de production.","Development of Passive Morphing Technology. Transport Decarbonation: Decarbonation is a major challenge in the aeronautics and naval sector. Ex Creatio is tackling this problem with innovative solutions. The Morphing Passive's technological bricks allow a significant reduction in energy consumption thanks to a lift increased by 53%. This translates into substantial fuel savings ranging from -3% to -5%, which is crucial for reducing greenhouse gas emissions. Renewable Energy Production: The renewable energy industry is another key application area of Morphing Passif. Wind and wind turbines are crucial means of producing clean energy, but they face efficiency challenges. Ex Creatio's technological bricks greatly increase the efficiency of these systems, thus broadening their scope and production capacity.
"
EMBRYA,https://www.embrya.io,"La Société EMBRYA a pour objet la fourniture de produits et services permettant de dépasser les limites actuelles de performance, d’efficacité et de généricité des systemes utilisés pour des applications d’intelligence artificielle dans les domaines de l’électronique embarquée, de l’IoT et de l’Edge Computing. L'architecture et les technologies de conception innovantes sur FPGA permettent des reconfigurations et des entraînements en ligne en temps réel ainsi qu’une augmentation de la capacité et de la taille des algorithmes (et donc de leur précision) avec l’utilisation de mémoires externes (de type SRAM ou DDR).","EMBRYA aims to provide products and services that exceed the current limits of performance, efficiency and genericity of systems used for artificial intelligence applications in the fields of embedded electronics, IoT and Edge Computing. Innovative architecture and design technologies on FPGA allow for real-time online reconfiguration and drives as well as an increase in algorithm capacity and size (and hence accuracy) with the use of external memories (SRAM or DDR type).
"
DANIELSON AIRCRAFT SYSTEMS,https://danielson-groupe.fr/,"Danielson Aircraft Systems a été créée en 2009 pour développer, fabriquer et maintenir en conditions opérationnelles des moteurs de drones a carburant lourds, pour le marché de la défense. Les segments visés sont les drones tactiques et MALE, avec des niveaux de puissance allant de 50ch a 200ch. Début 2024, Danielson Aircraft Systems a également élargi son champs d’activité en s’ouvrant a la réalisation de toute opération de MRO sur des sous-ensembles techniques, pour l’industrie aéronautique ou de la défense, lié ou non a des systemes de propulsion.","Danielson Aircraft Systems was created in 2009 to develop, manufacture and maintain in operational conditions heavy fuel UAV engines for the defence market. The target segments are tactical and MALE UAVs, with power levels ranging from 50hp to 200hp. At the beginning of 2024, Danielson Aircraft Systems also expanded its field of activity by opening up to the implementation of any MRO operation on technical sub-assemblies, for the aeronautical or defence industry, linked or not linked to propulsion systems.
"
AMETRA ENGINEERING,https://www.ametragroup.com/fr/,"Le Groupe Ametra, ingénieriste intégrateur depuis plus de 40 ans, conçoit et integre des systemes complexes pour les grands programmes industriels. Notre ADN repose sur une expertise multi-métiers, la compréhension des exigences client, une conduite de projets agile, la recherche permanente d’innovation et de compétitivité ainsi que l’excellence opérationnelle. Au travers de ses 3 entités, Ametra Engineering, Styrel et Ametra Integration, le Groupe Ametra allie aujourd’hui un savoir-faire en Ingénierie et intégration de produits et moyens mécaniques, en ingénierie et intégration de systemes électriques et électroniques.","The Ametra Group, an integrator engineer for more than 40 years, designs and integrates complex systems for large industrial programs. Our DNA is based on multi-trade expertise, understanding of customer requirements, agile project management, continuous search for innovation and competitiveness, and operational excellence. Through its 3 entities, Ametra Engineering, Styrel and Ametra Integration, the Ametra Group today combines expertise in engineering and integration of mechanical products and means, engineering and integration of electrical and electronic systems.
"
ALA France – Advanced Logistics for Aerospace France,https://www.alacorporation.com/,"ALA is a global diversified supply chain integrator to the Aerospace, Defense & High-Tech Industries. With Headquarters in Naples, Italy, ALA has over 35 years of experience offering a one-stop shop range of products, services and high-performance engineered solutions truly capable of simplifying and optimizing its Customers’ supply chain operations. ALA and its wholly owned SCP Sintersa Group build their success on the talent of 600+ people and on the strength of a growing network of sales offices and state-of-the-art facilities across Europe, Israel and North America.","ALA is a global diversified supply chain integrator to the Aerospace, Defense & High-Tech Industries. With Headquarters in Naples, Italy, ALA has over 35 years of experience offering a one-stop shop range of products, services and high-performance engineered solutions truly capable of simplifying and optimizing its Customers’ supply chain operations. ALA and its wholly owned SCP Sintersa Group build their success on the talent of 600+ people and on the strength of a growing network of sales offices and state-of-the-art facilities across Europe, Israel and North America.
"
AKAWAN,https://akawan.com/,"Fondée en 2015 et établie a Toulouse, notre agence IT rassemble une équipe de collaborateurs pluridisciplinaires spécialisés dans la conception, le développement, l'intégration et le maintien en conditions opérationnelles de solutions informatiques et techniques sur des environnements complexes. Notre approche centrée sur l'expérience utilisateur nous permet de concevoir des solutions digitales répondant aux besoins spécifiques des utilisateurs, tout en maximisant leur valeur ajoutée. Nous disposons d'une solide expérience dans la transformation digitale des entreprises, avec une expertise reconnue dans la conception et la mise en ouvre de solutions technologiques avancées. En tant qu'experts en intelligence artificielle, nous sommes en mesure de développer également des solutions innovantes exploitant pleinement le potentiel de l'IA pour répondre aux défis complexes et aux exigences spécifiques des entreprises.","Founded in 2015 and based in Toulouse, our IT agency brings together a team of multidisciplinary collaborators specialized in the design, development, integration and maintenance in operational conditions of IT and technical solutions on complex environments. Our user experience approach allows us to design digital solutions that meet the specific needs of users, while maximizing their added value. We have a solid experience in the digital transformation of companies, with recognized expertise in the design and implementation of advanced technological solutions. As experts in artificial intelligence, we are also able to develop innovative solutions that fully exploit the potential of AI to meet the complex challenges and specific requirements of companies.
"
AGENASPACE,https://agenaspace.fr/,développement et production de moteurs orbitaux a carburant liquide propres développement et fabrication de plateformes de services en orbite,"development and production of clean liquid fuel orbital engines development and manufacture of orbital service platforms
"
49SUD,https://www.49sud.com/,Bureau d'études spécialisé dans la conception et la fabrication de prototypes a énergie propre pour la mobilité.,"Design firm specializing in the design and manufacture of clean energy prototypes for mobility.
"
KAYRROS,https://www.kayrros.com/,"Solutions d'intelligence environnementale et économique, basée sur l'imagerie satellite et l'IA : détection de gaz a effet de serre, prévention des risques environnementaux, surveillance des chaînes d'approvisionnement et suivi de la transition énergétique","Environmental and economic intelligence solutions, based on satellite imagery and AI: greenhouse gas detection, environmental risk prevention, supply chain monitoring and energy transition monitoring
"
HYNAZUMA,NA,"Société de conseil, en management de transition et d’expertise en business développement hydrogene et décarbonation. Notre mission stratégique est d’entreprendre la mise en place d’un produit, d’une nouvelle activité ou d’une filiale dédiée a l’hydrogene bas carbone/renouvelable. Notre mission projet « revue 360 du projet » permettra de restaurer la confiance dans le projet aupres des équipes du COMEX et des actionnaires pour augmenter leur chances de succes. Chaine de valeur de l'hydrogene et des SAF/e-SAF","Consultancy, transition management and business expertise in hydrogen and decarbonation development. Our strategic mission is to undertake the implementation of a product, a new activity or a subsidiary dedicated to low carbon/renewable hydrogen. Our project mission ""project review 360"" will restore confidence in the project to the COMEX teams and shareholders to increase their chances of success. Hydrogen and ACC/e-ACC Value Chain
"
TEKEVER FRANCE,https://www.tekever.com/,"""Founded in 2001, TEKEVER is a Portuguese technology group, market leader in advanced unmanned aerial technology systems for maritime surveillance. It builds multiple types of drones around an AI-centric platform that combines Edge AI, satellite communications and cloud computing to provide customers with real time information and advanced analytics over simple to use and globally accessible web and mobile interfaces. TEKEVER is also a recognized expert in advanced satellite communication and networking systems for multi-satellite missions, particularly Inter-Satellite Links, as well as satellite RF payloads for Earth observation and space exploration, together with digital transformation solutions. That is why delving into the core of TEKEVER Group’s prowess, one uncovers a diverse technological tapestry from an assorted array of software products (TEKEVER Digital), drone models (TEKEVER UAS), and space technology solutions (TEKEVER Space). TEKEVER UAS stands as a prominent European leader in Unmanned Aerial Systems (UAS) designed for Maritime Surveillance, with an expanding global presence. Its expertise spans the entire UAS technology spectrum, encompassing structures, electronics, and software, showcasing their comprehensive grasp of the technology stack. Operating from cutting-edge facilities, TEKEVER's scalable production capabilities underscore its commitment to precision manufacturing and meeting market demands. Beyond technology, TEKEVER has evolved to offer Managed Services, boasting a fleet of over 40 UAS operators prepared for global deployment. With a collaborative team of over 400 professionals in Portugal and the UK, including engineers, operators, and technicians, TEKEVER's journey in this field is a testament to its innovation, operational prowess","""Founded in 2001, TEKEVER is a Portuguese technology group, market leader in advanced unmanned aerial technology systems for maritime surveillance. It builds multiple types of drones around an AI-centric platform that combines Edge AI, satellite communications and cloud computing to provide customers with real time information and advanced analytics over simple to use and globally accessible web and mobile interfaces. TEKEVER is also a recognized expert in advanced satellite communication and networking systems for multi-satellite missions, particularly Inter-Satellite Links, as well as satellite RF payloads for Earth observation and space exploration, together with digital transformation solutions. That is why delving into the core of TEKEVER Group’s prowess, one uncovers a diverse technological tapestry from an assorted array of software products (TEKEVER Digital), drone models (TEKEVER UAS), and space technology solutions (TEKEVER Space). TEKEVER UAS stands as a prominent European leader in Unmanned Aerial Systems (UAS) designed for Maritime Surveillance, with an expanding global presence. Its expertise spans the entire UAS technology spectrum, encompassing structures, electronics, and software, showcasing their comprehensive grasp of the technology stack. Operating from cutting-edge facilities, TEKEVER's scalable production capabilities underscore its commitment to precision manufacturing and meeting market demands. Beyond technology, TEKEVER has evolved to offer Managed Services, boasting a fleet of over 40 UAS operators prepared for global deployment. With a collaborative team of over 400 professionals in Portugal and the UK, including engineers, operators, and technicians, TEKEVER's journey in this field is a testament to its innovation, operational prowess"
TECH4FAB,https://www.techforfab.com,"Tech4Fab est une startup DeepTech spécialisée dans la fourniture de solutions technologiques avancées pour l'industrie 4.0. Notre mission principale est d'extraire la valeur latente des données issues des processus de fabrication et des bancs de test. Nous nous consacrons a aider les industriels a optimiser leurs processus de production & Test et a effectuer des analyses approfondies grâce a des briques d'intelligence artificielle, augmentant ainsi l'efficacité et la productivité globales tout en réduisant la consommation énergétique. Notre équipe d'experts possede une connaissance approfondie du secteur manufacturier et de la technologie de pointe qui le propulse. Nous travaillons en étroite collaboration avec nos clients pour comprendre leurs besoins spécifiques et concevoir des solutions sur mesure parfaitement adaptées. Nous croyons fermement que la technologie avancée est essentielle pour débloquer tout le potentiel des données de l'industrie 4.0. Tech4Fab répond a une demande latente en dévoilant une approche novatrice pour exploiter les données issues de la production et des bancs d'essais, en combinant une approche hybride basée sur les données, la physique et l'expertise métier.","Tech4Fab is a DeepTech startup specializing in providing advanced technological solutions for Industry 4.0. Our primary mission is to extract latent value from data generated by manufacturing processes and test benches. We are dedicated to helping industrial companies optimize their production & testing processes and perform in-depth analyses using artificial intelligence modules, thereby increasing overall efficiency and productivity while reducing energy consumption. Our team of experts possesses extensive knowledge of the manufacturing sector and the cutting-edge technology that drives it. We work closely with our clients to understand their specific needs and design tailor-made solutions that fit perfectly. We firmly believe that advanced technology is essential to unlocking the full potential of Industry 4.0 data. Tech4Fab meets a latent demand by unveiling an innovative approach to harnessing data from production and test benches, combining a hybrid approach based on data-driven, physics-driven and knowledge-driven."
TAKE [AIR],https://www.take-air.fr,Solution numérique de calcul et de réduction de l'empreinte carbone,"Digital carbon footprint calculation and reduction solution
"
SPACELOCKER,https://www.spacelocker.fr,SpaceLocker propose des missions spatiales clés en main grâce a de l'hébergement a bord de satellites existants.,"SpaceLocker provides turnkey space missions through onboard hosting of existing satellites.
"
REGIOXPRESS,NA,Compagnie aérienne,"Airline
"
OBSAM,https://www.obsam.fr,"Obsam est un acteur reconnu dans la gestion de données d’obsolescence dédié aux équipements civils et militaires. Nos activités de veille et de traitement proposent d’évaluer la capacité d’approvisionnement des fournisseurs et d’aider leurs clients a trouver des solutions alternatives pour optimiser la disponibilité des systemes. Des activités complémentaires en lien avec la pérennité des articles sont aussi proposées comme la solution GOO destiné aux TPE/PME, le sourcing, le stockage, la formation et la cartographie.","Obsam is a recognized player in obsolescence data management dedicated to civil and military equipment. Our monitoring and processing activities propose to evaluate the supply capacity of suppliers and to help their customers find alternative solutions to optimize the availability of systems. Complementary activities related to the sustainability of articles are also proposed such as GOO solution for TPE/SME, sourcing, storage, training and mapping.
"
