titleEN;titleCZ;KeywordsEN;KeywordsCZ;AbstractEN;AbstractCZ;Supervisor
Generative artificial intelligence for image synthesis;Generativní umělá inteligence pro syntézu obrazu;disinformation, generative artificial intelligence, deepfakes, risks, image synthesis, copyright, diffusion models, artificial intelligence, machine learning, deep learning, security;bezpečnost, dezinformace, hluboké učení, deepfakes, umělá inteligence, strojové učení, generativní umělá inteligence, difuzní modely, syntéza obrazu, autorská práva, rizika;This bachelor&amp,apos,s thesis is devoted to the identification and analysis of potential risks brought by generative artificial intelligence in the field of image synthesis. As part of the theoretical part, a literature review was carried out, on the basis of which the key terms associated with generative artificial intelligence and its components enabling image synthesis were defined. The work also presents possible risks and provides users with a basic methodology for their mitigation. In the practical part, quantitative research was carried out through a questionnaire survey with the aim of answering the research questions. A total of 183 respondents took part in the questionnaire and were also tested on their ability to distinguish synthetic images from real photographs. The research results showed that almost half of the respondents have personal experience with generative artificial intelligence for image synthesis and are aware of the risks associated with it. Respondents also confirmed that this technology is being misused for malicious purposes, including manipulation of public opinion. On average, research participants were able to identify approximately half of the synthetic images. In the future, the increasingly convincing outputs of generative artificial intelligence will represent a considerable challenge. Therefore, it is necessary to educate the general public and alert them to possible threats;Tato bakalářská práce je věnována identifikaci a analýze potenciálních rizik, které přináší generativní umělá inteligence v oblasti syntézy obrazu. V rámci teoretické části bylo provedena literární rešerše, na základě které byly vymezeny klíčové pojmy spojené s generativní umělou inteligencí a jejími komponentami umožňujícími syntézu obrazu. Práce dále předkládá možná rizika a poskytuje uživatelům základní metodiku pro jejich mitigaci. V praktické části byl realizován kvantitativní výzkum prostřednictvím dotazníkového šetření s cílem odpovědět na výzkumné otázky. Dotazníku se účastnilo celkem 183 respondentů, kteří byli také testováni na schopnost rozlišovat syntetické obrázky od reálných fotografií. Výsledky výzkumu ukázaly, že téměř polovina respondentů má osobní zkušenosti s generativní umělou inteligencí pro syntézu obrazu a uvědomuje si s ní spojená rizika. Respondenti rovněž potvrdili, že je tato technologie zneužívána pro nekalé účely, včetně manipulace s veřejným míněním. Účastníci výzkumu byli schopni identifikovat v průměru přibližně polovinu syntetických obrázků. V budoucnu budou stále přesvědčivější výstupy generativní umělé inteligence představovat značnou výzvu. Proto je nezbytné vzdělávat širokou veřejnost a upozorňovat ji na možné hrozby.;Luc, Ladislav
IT Solution for the Support of Teraristics Based on the Internet of Things;IT řešení pro podporu teraristiky na bázi Internetu věcí;thermometer, breeding, Homebridge, Internet of Things;Homebridge, chov, Internet věcí, teploměr;The Internet of Things is increasingly being used to connect the physical and digital worlds. This trend offers new perspectives and opportunities. The widespread use of modern technologies, commonly applied in everyday life, makes it increasingly accessible to new areas. For example, it is possible to use the Internet of Things to ensure the reproduction of natural conditions, which is a basic requirement for successful animal breeding. The specific requirements for the breeding of invertebrates, in particular beetles of the genus Goliathus, led the author to the decision to use information technology to monitor and ensure breeding conditions. The main objective of the work was to develop an IT solution to support invertebrate breeding. The sub-objectives of the thesis include a description of invertebrate breeding issues and requirements, formulation of the IT solution requirements and conceptual design of the solution, selection of the appropriate technology and HW and SW components to be used, determination of the methodology for the design and development of the IT solution for breeding support, development of the SW and HW solution and verification of the correct functionality and fulfilment of the requirements. Methods include literature and internet resources research, comparison of IoT definitions and analysis of breeding issues and fulfilment of requirements for breeding support. A multi-criteria decision-making method was used to select the elements. The system created based on selected solution is used by the author to monitor and ensure the conditions for breeding. The successful use of the Internet of Things in terraristics is a proof of the possibilities of its widespread use.;Internet věcí je stále více využíván pro propojení fyzického a digitálního světa. Tento trend nabízí nové perspektivy a možnosti. Díky širokému využívání moderních technologií, běžně aplikovaných v každodenním životě, je stále více dostupnější i pro nové oblasti. Například je možné využít Internet věcí k zajištění reprodukce přírodních podmínek, které je základním požadavkem pro úspěšný chov živočichů. Specifické požadavky na chov bezobratlých živočichů, zejména brouků rodu Goliathus, vedly autora k rozhodnutí využít informační technologie pro monitorování a zajištění podmínek chovu. Hlavním cílem práce bylo vytvořit IT řešení pro podporu chovu bezobratlých živočichů. Dílčí cíle práce zahrnují popis problematiky chovu bezobratlých živočichů a požadavků na jejich chov, formulaci požadavků na IT řešení a konceptuální návrh řešení, výběr vhodné technologie a použitých HW a SW komponent, stanovení metodiky pro návrh a vývoj IT řešení pro podporu chovu, vývoj SW a HW řešení a ověření správné funkce a naplnění požadavků. Metody zahrnují rešerši odborné literatury a internetových zdrojů, komparaci definic IoT a analýzu problematiky chovu a splnění požadavků na podporu chovu. Při výběru prvků byla použita metoda vícekriteriálního rozhodování. Systém vytvořený na základě vybraného řešení je autorem využíván k monitorování a zajištění podmínek pro chov. Úspěšné využití Internetu věcí v teraristice je důkazem možností jeho širokého využití.;Sládek, Pavel
Cyber security and user awareness;Kybernetická bezpečnost a informovanost běžných uživatelů;cyber security, prevention of cyber attacks, user education;kybernetická bezpečnost, prevence kybernetických útoků, vzdělávání uživatelů;The bachelor thesis addresses the issue of user awareness of cyber security and threats within cyberspace. The main aim of the thesis is to determine the level of awareness and education of users about cyber security and its threats across age categories in the Czech Republic and, following the results of the research, to propose a solution to improve awareness. In the first part of the thesis, the author discusses cyber security and related concepts, individual cyber threats, and, above all, their prevention. The second part of the thesis evaluates the results of a survey conducted among users across different age categories in the Czech Republic. The methodology for data collection was a questionnaire survey distributed electronically. The questionnaire includes questions related to users&amp,apos, education in cybersecurity, security options and risky behaviours in cyberspace. The research part also includes a summary of existing educational projects and the formulation of a self-proposal to help improve awareness of the pitfalls in cyberspace among users in consideration of the research results.;Bakalářská práce se zabývá problematikou informovanosti běžných uživatelů o kybernetické bezpečnosti a hrozbách v rámci kybernetického prostoru. Hlavním cílem práce je zjistit úroveň informovanosti a vzdělání uživatelů o kybernetické bezpečnosti a jejích hrozbách napříč věkovými kategoriemi v České republice a v návaznosti na výsledky výzkumu navrhnout řešení, kterým by se informovanost dala zlepšit. V první části práce se autorka zabývá kybernetickou bezpečností a s ní souvisejícími pojmy. Dále se věnuje jednotlivým kybernetickým hrozbám, a především jejich prevenci. V druhé části práce jsou vyhodnoceny výsledky výzkumu provedeného mezi uživateli napříč různými věkovými kategoriemi v České republice. Metodikou pro sběr dat bylo dotazníkové šetření distribuované v elektronické podobě. Dotazník obsahuje otázky týkající se vzdělání uživatelů v rámci kybernetické bezpečnosti, možností zabezpečení a rizikových chování v kyberprostoru. Součástí výzkumné části je také souhrn již existujících vzdělávacích projektů a formulace vlastního návrhu, který by měl pomoci zlepšit informovanost o nástrahách v kyberprostoru mezi běžnými uživateli s ohledem na výsledky výzkumu.;Luc, Ladislav
Design and implementation of a web portal for hop growers;Návrh a implementace webového portálu pro pěstitele chmele;PHP, SQL, responsive design, web application, hop growing, hop grower, Nette, agrarian web portal;Nette, PHP, SQL, responzivní design, agrární webový portál, chmelařství, webová aplikace, pěstitel chmele;This bachelor thesis deals with the design and implementation of a web portal for hop growers to serve as a tool for managing and optimizing their activities in relation to hop growing. The aim of the thesis is to create a clear web application that will target a group of hop growers and provide them with all the necessary information in one place. The theoretical part deals with the research of current solutions in the field of agriculture, then the technologies used nowadays for the creation of modern web applications and the spiral model of development are described. For the model, the reasons why it was chosen for the development of this project are given. The practical part describes the complete process of web application development using the spiral model. It all starts with a requirements analysis based on the needs of the users. Based on this, the design of the web portal is created. Next, the project moves to the implementation phase. This is followed by the testing and subsequent deployment part. The whole project goes through several iterations. The results of the testing and the feedback received confirm the success of the web portal implementation. The final output of the work is a fully functional web application that allows hop growers to manage their activities in a simpler and more intuitive way. The portal not only improves harvest organisation and administrative processes, but also provides a platform for sharing relevant information and supports decision-making processes in hop growing.;Tato bakalářská práce se zabývá návrhem a implementací webového portálu pro pěstitele chmele, který má sloužit jako nástroj pro správu a optimalizaci jejich činností ve vztahu k chmelařství. Cílem práce je vytvoření přehledné webové aplikace, která bude určena skupině pěstitelů chmele a poskytne jim všechny potřebné informace na jednom místě. Teoretická část se zabývá rešerší současných řešení v oblasti zemědělství, dále jsou popsány technologie, které se v dnešní době používají pro tvorbu moderních webových aplikací, a spirálový model vývoje. U modelu jsou uvedeny důvody, pro které byl vybrán pro zpracování tohoto projektu. Praktická část popisuje kompletní proces vývoje webové aplikace za využití spirálového modelu. Vše začíná analýzou požadavků, která vychází z potřeb uživatelů. Na jejím základě je vytvořen návrh webového portálu. Dále se projekt přesouvá do fáze implementace. Po ní následuje část testování a následné nasazení. Celý projekt prochází několika iteracemi. Výsledky testování a získaná zpětná vazba a potvrzují úspěšnost implementace webového portálu. Konečným výstupem práce je plně funkční webová aplikace, která pěstitelům chmele umožňuje jednodušší a intuitivnější správu jejich aktivit. Tento portál nejenže zlepšuje organizaci sklizně a administrativní procesy, ale také poskytuje platformu pro sdílení důležitých informací a podporuje rozhodovací procesy v oblasti pěstování chmele.;Luc, Ladislav
Questions of Ethics and the Psychological Impact of Artificial Intelligence on Society;Otázky etiky a psychologický dopad umelej inteligencie na spoločnosť;artificial intelligence, deep learning algorithms, ethical questions and dilemmas, psychological impact;umelá inteligencia, etický otázky a dilemy, psychologický dopad, algoritmy hlbokého učenia;This thesis focuses on the examination of the increasingly significant influence of artificial intelligence and deep learning algorithms, with a specific focus on the ethical questions and dilemmas related to the development and use of artificial intelligence, as well as the psychological impact these technologies have on society and individuals living within it. With the ever-growing presence of artificial intelligence in our lives, the importance of understanding the problems associated with its development and implementation also increases. Based on this foundation, research questions and objectives of this work were established. The first of these was to introduce the field of artificial intelligence, clearly define what is meant by the term artificial intelligence, present the historical development of this technology, and acquaint the reader with modern trends in the industry. Furthermore, the ethical dilemmas and questions associated with artificial intelligence are extensively presented. To achieve this goal, a traditional literature review and analysis of more than 20 relevant works that provide various perspectives on the issue were utilized. In addition to ethical questions, various approaches to addressing and resolving these dilemmas are analyzed. The chapter also presents different perspectives on categorizing problems and introduces conceptual philosophical issues in the design of artificial intelligence. On the topic of psychology, the paper analyzes three main ways in which artificial intelligence affects our psychology: our behavior, our mental health, and our work life. Several examples are presented in each chapter. The contributions of this work lie primarily in providing a comprehensive view of the entire issue of AI ethics, the psychological impacts on people, analysis of modern trends in the industry, and drawing conclusions about the most optimal path for addressing these problems for the future ethical and beneficial development of AI.;Táto práca je zameraná na preskúmanie stále rastúceho vplyvu umelej inteligencie a algoritmov hlbokého učenia so špecifickým zameraním na etické otázky a dilemy spojené s vývojom a používaním umelej inteligencie, tak isto ako aj psychologickým dopadom, ktorý tieto technológie majú na spoločnosť a jednotlivcov žijúcich v nej. S neustále rastúcou prítomnosťou umelej inteligencie v našich životoch taktiež rastie dôležitosť poznať problémy spojené s jej vývojom a implementáciou. Na tomto základe boli stanovené výskumné otázky a ciele tejto práce. Prvým z nich bolo predstaviť oblasť umelej inteligencie, jasne definovať čo sa pod pojmom umelá inteligencie myslí,  predstaviť historický vývoj tejto technológie a oboznámiť čitateľa s modernými trendami v tomto odvetví. Ďalej sú obšírne predstavené etické dilemy a otázky spojené s umelou inteligenciou. Na dosiahnutie tohto cieľa bola využitá tradičná rešerš a analýza viac než 20 relevantných prác, ktoré poskytujú rôzne uhly pohľadu na problematiku. Okrem etických otázok sú analyzované aj rôzne prístupy k tomu, ako sa k nim správne postaviť a ako sa môžu tieto dilemy riešiť. Kapitola tiež obsahuje rôzne pohľady na kategorizáciu problémov a predstavuje taktiež konceptuálne filozofické problémy návrhu umelej inteligencie. Na tému psychológie analyzuje práca 3 hlavné smery, v ktorých umelá inteligencia ovplyvňuje našu psychológiu: naše správanie, naše duševné zdravie a náš pracovný život. V každej kapitole je k tomu predstavených niekoľko príkladov. Prínosy tejto práce spočívajú primárne v prinesení komplexného náhľadu na celú problematiku etiky AI, psychologických vplyvov na ľudí, analyzovania moderných trendov v odvetví a vyvodení záverov o tom, aká je najoptimálnejšia cesta na riešenie daných problémov pre budúci etický a blahodarný vývoj AI.;Svatoš, Oleg
Comparison of translations of generative artificial intelligence;Porovnání překladů generativní umělé inteligence;generative artificial intelligence, neural machine translation, machine translation, translation comparison, translation metrics;generativní umělá inteligence, neuronový strojový překlad, strojový překlad, srovnání překladů, metriky překladu;The main goal of this bachelor thesis is to compare the ability of generative artificial intelligence in the translation of text against the capabilities of neural machine translation. To achieve this goal, the author presents both technologies&amp,apos, history, basic principles, advantages, and disadvantages. As partial objectives the author examines the impact of the field of the text, the length of the text, and the direction of translation, into Czech and English, on the quality of translation. Methods of measuring the quality of translation were introduced, namely human, automated, and a combination of both approaches. The ChrF and HTER metrics, which were used in the author&amp,apos,s empirical work, were introduced. Texts in four different fields and four different lengths were chosen for evaluation of the quality of translation. A total of eighty texts were compared in six different popular services. There were three neural machine translation services and three generative AI services. The author found that the current popular approach to translation, neural machine translation, has better results. Still, one of the generative AI services evaluated, ChatGPT-4, outperformed one of the selected neural machine translation services in the results of the author&amp,apos,s human evaluation. According to the author&amp,apos,s results, the quality of the translation depends on the field of the text and the direction of the translation. Specific monitored fields have significantly better results according to both metrics, and translations into English have better results than translations into Czech in all observed values. In the case of the impact of text length on the quality of the translation, the results show that the author&amp,apos,s chosen lengths do not significantly impact the translation quality. However, as the length increases, the proportion of translations that have errors from different services increases, i.e., the number of translations of the exact text from various services that need at least one modification increases with the length. The questionnaire survey showed results similar to those found by the author.;Hlavním cílem této bakalářské práce je porovnání schopnosti generativní umělé inteligence překládat text proti schopnostem neuronovému strojovému překladu. Pro dosažení tohoto cíle je představena historie, základní principy, výhody a nevýhody obou technologií. Jako dílčí cíle jsou zkoumány dopady oboru textu, délky textu a směru překladu, do češtiny a do angličtiny, na kvalitu překladu. Byly představeny způsoby měření kvality překladu, a to lidské, automatizované a spojení obou přístupů. Představeny byly metriky ChrF a HTER, které byly použity v empirické práci autora. Pro hodnocení kvality byly zvoleny texty ve čtyřech různých oborech a čtyřech různých délkách. Celkem bylo porovnáno osmdesát textů v šesti různých populárních službách. Jednalo se o tři služby neuronového strojového překladu a tři služby generativní umělé inteligence. Autor zjistil, že stávající populární přístup k překladu, neurální strojový překlad, má lepší výsledky. Přesto jedna ze sledovaných služeb generativní umělé inteligence, ChatGPT-4, překonala výsledky autorem dělaného lidského hodnocení jedné ze zvolených služeb neuronového strojového překladu. Dle autorových výsledků záleží na oboru textu a směru překladu při hodnocení kvality překladu. Jisté sledované obory mají významně lepší výsledky dle obou metrik a překlady do angličtiny mají ve všech sledovaných hodnotách lepší výsledky než výsledky překladu do češtiny. V případě dopadu délky textu na kvalitu překladu ukazují výsledky v autorově zvolených délkách na to, že délka nemá významný dopad na kvalitu překladu. Při růstu délky ale roste poměr chybných překladů z různých služeb, tedy s délkou roste počet překladů stejného textu od různých služeb, které potřebují alespoň jednu úpravu. Z dotazníkového šetření vyplynuly výsledky podobné těm nalezeným autorem.;Luc, Ladislav
Analysis of the deployment of security features in the Microsoft 365 platform in organizations;Průzkum nasazení bezpečnostních funkcí platformy Microsoft 365 v organizacích;cloud, computer security, Microsoft 365;cloud, počítačová bezpečnost, Microsoft 365;The bachelor thesis deals with the issue of the proper setting of security features in the Microsoft 365 cloud platform and their usage. The aim is to research the recommendations issued by Microsoft called Secure Score, also in the context of their licensing and availability to individual organizations. Another objective is to use a sample of organizations to identify features that are not commonly used or are incorrectly configured. The final goal is to assess key areas for improvement and make recommendations.;Bakalářská práce se zabývá problematikou správného nastavení bezpečnostních funkcí cloudové platformy Microsoft 365 a jejich využívaností. Cílem je provést průzkum doporučení vydávaných společností Microsoft nazývaných jako Secure Score, a to i v kontextu jejich licencování a dostupností jednotlivým organizacím. Dalším cílem je pomocí vzorku organizací identifikovat dosud nevyužívané nebo nesprávně nastavené funkce. Posledním cílem je pak vlastní zhodnocení klíčových míst pro zlepšení a stanovení doporučení.;Pavlíček, Luboš
Reservation system for ski school;Rezervační systém pro lyžařskou školu;web application, reservation systems, ski school, Python, Flask;Python, Flask, lyžařská škola, webová aplikace, rezervační systémy;Reservation systems play crucial role in enhancing organization, management, and customer communication across various services, from sports facilities to individual service offerings. The main objective of this thesis is to design and implement a booking system for ski school as a web application that enables clients to conveniently make online reservations while providing administrators with efficient tools for managing these bookings.  This bachelor thesis outlines the development process of a proposed web application in several detailed chapters. Initially, the thesis introduces the ski school for which the system is intended, detailing its internal operations and the fundamental requirements of the system. The following section conducts a research of existing booking systems on the market, as well as research of systems used by the competing ski schools. This thesis continues with an analysis and design of the system using the MMSP methodology.  Moreover, accompanied technologies are described in this section. Finally, the developed application is implemented using Python and Flask micro-framework. The final product is then subjected to user testing.  The conclusion of the bachelor thesis presents a fully functional web application that meets the specified criteria for defined reservation system.;Rezervační systémy jsou významnou součástí služeb, které usnadňují organizaci, správu a komunikaci se zákazníky v různých oblastech podnikatelské činnosti, ať už se jedná o sportovní zařízení nebo individuální služby. Cílem této bakalářské práce je navrhnout a implementovat rezervační systém v podobě webové aplikace, který umožní klientům lyžařské školy provádět online rezervace a správcům školy zajistí přehlednější správu právě těchto rezervací.   Bakalářská práce v kapitolách popisuje postup vývoje navrhované webové aplikace. Na začátku práce popisuje lyžařskou školu, pro kterou je systém navrhován, její interní procesy a základní požadavky na systém. Následující část obsahuje rešerši dostupných rezervačních systémů na trhu a rezervačních systémů konkurenčních lyžařských škol. Práce dále zkoumá proveditelnost realizace těchto dostupných systémů. Práce pokračuje analýzou a návrhem systému dle metodiky MMSP a popsáním použitých technologií. V neposlední řadě je vyvíjená aplikace implementována pomocí Pythonu a micro-frameworku Flask. Vyvinuté řešení je následně předmětem uživatelského testování.  Závěrem bakalářské práce je funkční webová aplikace, která naplňuje definované požadavky na rezervační systém.;Vojíř, Stanislav
Dating apps for university students;Seznamovací aplikace pro studenty vysokých škol;Dating, Online dating, Web application, Vue.js, Vuetify, C#, .NET;Seznamka, online seznamka, webová aplikace, Vue.js, Vuetify, C#, .NET;With the growing need for social interaction among students, especially international students, the online world is becoming an increasingly interesting place to build community and share experiences. This bachelor thesis focuses on the development of a multilingual web application for introducing university students. The aim of the thesis is to design and implement an application that would help students to establish new social relationships more easily. The development of the application was guided by a waterfall model that includes the phases of requirements analysis, design, implementation, testing and deployment. Specifically, the technologies used in this work include Vue3.js, SASS, TailwindCSS, Axios, Typescript, Vuetify, C#, .NET, Entity Framework, and LINQ.  There are seven chapters in the thesis that cover different aspects of application development and implementation. Each chapter covers a specific topic in detail, including requirements analysis, architecture design, back-end and front-end implementation, testing, and deploying the application into production. The author collaborated directly with an external graphic designer on the user interface design and marketing part of the application, which contributed to a professional look and user-friendly environment. The result of this work is a fully functional web application called studate, available at studate.eu, which allows university students from different countries to make new social contacts through an online environment. The author of this thesis intends to launch the application into regular operation and promote it among different universities in European countries.;S rostoucí potřebou sociální interakci mezi studenty, zejména mezi zahraničními, se stává online svět stále zajímavějším místem pro budování komunity a sdílení zkušeností. Tato bakalářská práce se zaměřuje na vývoj vícejazyčné webové aplikace pro seznamování studentů vysokých škol. Cílem práce je navrhnout a implementovat aplikaci, která by pomohla studentům snadněji navazovat nové sociální vztahy. Vývoj aplikace byl řízen vodopádovým modelem, který zahrnuje fáze analýzy požadavků, návrhu, implementace, testování a nasazení. Konkrétně jsou v práci použity technologie jako Vue3.js, SASS, TailwindCSS, Axios, Typescript, Vuetify, C#, .NET, Entity Framework a LINQ.  Práce obsahuje sedm kapitol, které pokrývají různé aspekty vývoje a implementace aplikace. Každá kapitola se detailně věnuje určitému tématu, včetně analýzy požadavků, návrhu architektury, implementace back-endu a front-endu, testování a nasazení aplikace do provozu. Přímo na návrhu uživatelského rozhraní a marketingové části aplikace autor spolupracoval s externím grafickým designérem, což přispělo k profesionálnějšímu vzhledu a uživatelsky přívětivému prostředí. Výsledkem této práce je plně funkční webová aplikace s názvem studate, dostupná na adrese studate.eu, která umožňuje studentům vysokých škol z různých zemí navazovat nové sociální kontakty prostřednictvím online prostředí. Autor této práce hodlá spustit aplikaci do běžného provozu a propagovat ji mezi různými univerzitami v evropských zemích.;Vojíř, Stanislav
Speciální vlastnosti a datové toky souhlasu vlastníka pro zavedení optické sítě;Special features and data streams of owner consent for fibre roll-out;datové vrstvy, optický internet, datová architektura,  souhlas vlastníka pro zavedení optiky;data layering, fiber optic, data architecture, owner consent for fiber roll-out;Tato bakalářská práce si klade za cíl prozkoumat schvalování připojení optického internetu telekomunikační společností, s konkrétním zaměřením na připojení do sklepů oproti připojení k bytovým jednotkám. Primárním cílem je kvantifikovat a porovnat počet udělených schválení pro tyto dva typy připojení, nová data pak mohou být použita pro výpočty požadovaných KPI. Kromě této analýzy studie poskytne přehled telekomunikačního odvětví, s konkrétním důrazem na technologii optického internetu v Německu, jeho vývoj a srovnání s předchozími technologiemi. Výzkum rovněž prozkoumá cestu dat skrze různé vrstvy datové architektury, včetně akvizice, přípravné vrstvy, core vrstvy, a nakonec exportní vrstvy. Kromě toho se práce bude zabývat vývojem a implementací denně aktualizovaného dashboardu pro vizualizaci a efektivní prezentaci zjištěných poznatků. Tento projekt přispěje k rozvoji poznatků o analýze telekomunikačních dat a demonstraci praktické aplikace postupů zpracování a vizualizace dat v kontextu skutečného podnikatelského prostředí.;This thesis aims to investigate the approvals for fiber optic connections by a telecom company, specifically focusing on connections to basements versus connections to living units. The primary objective is to quantify and compare the number of approvals granted for these two types of connections. This new data will be then used for calculations of requested KPIs. In addition to this analysis, the study will provide a comprehensive overview of the telecommunications industry, with a specific emphasis on fiber optic technology in Germany, its evolution, and comparison to previous technologies. The research will also explore the data journey through various layers within a data architecture, including acquisition, staging, the core layer, and ultimately the export layer. Furthermore, the thesis will involve the development and implementation of a daily updated dashboard to visualize and present the findings effectively. This project will contribute to advancing knowledge in the analysis of telecommunications data and demonstrate practical applications of data processing and visualization techniques in a real-world industry context.;Pour, Jan
Web interface for reporting claims for the Pillow insurance company;Webové rozhraní pro hlášení pojistných událostí pro pojišťovnu Pillow;Pillow insurance company, Angular, insurance, claims reporting, claims management, web application, user interface, TypeScript;pojištění, hlášení pojistných událostí, správa škod, pojišťovna Pillow, webová aplikace, uživatelské rozhraní, Angular, TypeScript;Nowadays, information technology is an essential part of everyday life. Insurance companies are adapting to the development of technology, so clients are no longer forced to communicate with employees personally at branches. In addition to the presentation of the offered products, claims reporting is also handled online. The goal of this work is the design and implementation of a web interface for reporting insurance claims for the Pillow insurance company, which will facilitate the process of registering insurance claims. The thesis describes the principle of reporting insurance claims and introduces the Pillow insurance company. Furthermore, the work includes an analysis of the requirements and existing solutions on the market and an analysis of the systems to which the new interface is to be connected. The main part of the work deals with the design, implementation and testing of the application, which is developed using the Angular framework. The application expanded the internal information system of the insurance company. As part of it, an insurance claim report form, and an interface for searching and reviewing the details of registered claims were created. The new interface was successfully implemented and was put into production environment. The goal of the work was fulfilled.;V dnešní době jsou informační technologie nezbytnou součástí každodenního života. Pojišťovny se rozvoji technologií přizpůsobují, proto již klienti nejsou nuceni komunikovat s pracovníky osobně na pobočkách.   Kromě prezentace nabízených produktů se online řeší i hlášení škod. Cílem této práce je návrh a implementace webového rozhraní pro hlášení pojistných událostí pro pojišťovnu Pillow, které usnadní pracovníkům proces evidování vzniklých pojistných událostí. V práci je popsán princip hlášení pojistných události a je představena pojišťovna Pillow. Dále práce zahrnuje analýzu požadavků a existujících řešení na trhu a analýzu systémů, na které se má nové rozhraní napojit. Hlavní část práce se zabývá návrhem, implementací a testováním aplikace, která je vyvinuta s použitím frameworku Angular.  Aplikace rozšířila interní informační systém pojišťovny. V rámci něj byl vytvořen formulář hlášenky pojistné události a rozhraní pro vyhledávání a náhled na detail evidovaných událostí. Nové rozhraní bylo úspěšně implementováno a bylo uvedeno do ostrého provozu. Cíl práce byl naplněn.;Vojíř, Stanislav
Securing communication with access control system units;Zabezpečení komunikace s jednotkami přístupového systému;risk analysis, system security, security solutions, access control systems;bezpečnostní řešení, analýza rizik, přístupové systémy, zabezpečení systémů;The bachelor’s thesis focuses on enhancing the security of the communication layer of a selected access system through the identification of specific vulnerabilities and the design of appropriate security solutions. The work first analyses current security threats and system vulnerabilities based on user scenario and system process analysis, and then proposes technological solutions to mitigate them. The methodology includes a qualitative analysis of general risks of the access layer and human factors, and a comparative evaluation of selected security technologies assessed for their technical properties and contributions to increasing system security. The contribution is a series of specific recommendations for increasing the security of the communication layer of the examined system. These recommendations primarily focus on identified vulnerabilities relevant to the observed system, particularly strengthening trust in first-use processes and enhancing user responsibility in SSH sessions.;Bakalářská práce se zaměřuje na zvýšení bezpečnosti komunikační vrstvy vybraného přístupového systému skrze identifikaci specifických zranitelností a návrh příslušných bezpečnostních řešení. V práci jsou nejprve analyzovány současné bezpečnostní hrozby a zranitelnosti systému na základě analýzy uživatelských scénářů a systémových procesů a následně jsou navržena technologická řešení k jejich zmírnění. Metodologie zahrnuje kvalitativní analýzu obecných rizik přístupové vrstvy a lidského faktoru, a komparativní hodnocení vybraných bezpečnostních technologií, které byly vyhodnoceny s ohledem na jejich technické vlastnosti a přínosy pro zvýšení systémové bezpečnosti. Přínosem je řada konkrétních doporučení pro zvýšení bezpečnosti komunikační vrstvy zkoumaného systému. Doporučení se primárně zaměřují na identifikované zranitelnosti relevantní pro sledovaný systém, zejména tedy posílení důvěry v procesy prvního použití a zvýšení uživatelské odpovědnosti u SSH relací.;Sládek, Pavel
Improvement of cloud infrastructure monitoring in a company providing email collaborative solution;Zefektivnění monitoringu cloudové infrastruktury ve společnosti poskytující mailové kolaborativní řešení;monitoring, Zabbix, Grafana, Prometheus, infrastructure;Zabbix, Grafana, Prometheus, infrastruktura, monitorování;The thesis deals with the improvement of cloud infrastructure monitoring in a company providing mail collaborative solution provided in the form of Software as a Service. The current implementation of monitoring includes various issues including separate monitoring of customer servers from other cloud infrastructure, long-term data storing in the same system and related performance problems of the Zabbix monitoring server. The aim of the thesis is to improve the monitoring of cloud infrastructure and to eliminate the deficiencies. Based on the analysis of the current state of infrastructure and its monitoring, selected issues are defined and tools are chosen to achieve the goal according to the company&amp,apos,s requirements. Following is the implementation of monitoring in high availability mode, partial consolidation of individual elements and separation of long-term trends into a separate system. When implementing test environment, great emphasis is placed on setting the dependencies of individual elements to clarify and reveal the root cause of a potential problem. The result of the work is a Zabbix cluster in high availability mode, which extends the monitoring of customer servers to fundamental infrastructure components. The cluster is used exclusively for alerting with configured dependencies. Prometheus server and Grafana are created for working with historical data. The company can use the solution as a replacement for the current implementation.;Bakalářská práce se zaměřuje na zefektivnění monitoringu cloudové infrastruktury ve společnosti poskytující mailové kolaborativní řešení ve formě Software as a Service. Současná implementace monitoringu obsahuje řadu nedostatků, mezi které patří oddělený monitoring zákaznických serverů od ostatní cloudové infrastruktury, uchovávání dlouhodobých dat ve stejném systému a související výkonnostní problémy monitorovacího nástroje Zabbix. Cílem práce je monitoring infrastruktury zefektivnit a zmíněné nedostatky odstranit. Na základě analýzy současného stavu infrastruktury a jejího monitoringu, jsou definovány vybrané problémy a zvoleny nástroje pro dosažení cíle dle požadavků společnosti. Práce se dále zabývá implementací monitoringu v režimu vysoké dostupnosti, provedením částečné konsolidace jednotlivých prvků infrastruktury a oddělením dlouhodobých trendů do samostatného systému. Při implementaci testovacího prostředí monitoringu je kladen velký důraz na nastavení závislostí jednotlivých prvků infrastruktury pro zpřehlednění a odhalení hlavní příčiny potenciálního problému.  Výsledkem práce je Zabbix cluster s vysokou dostupností, který rozšiřuje monitoring zákaznických serverů o podstatné prvky infrastruktury. Tento cluster je využitý výhradně pro alerting s nastavenými závislostmi. Pro práci s historickými daty je vytvořen oddělený Prometheus server a Grafana. Toto řešení může společnost využít jako náhradu současné implementace.;Pavlíček, Luboš
