Order,URL,TitleEN,ScienceBranchID,Authors,Abstract,Keywords
11,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00598043%21RIV25-AV0-67985556,Active Fault Detection Based on Tensor Train Decomposition,20204,"Punčochář, I.;Straka, O.;Tichavský, Petr",The paper deals with the use of tensor train decomposition for active fault detection of stochastic systems. The faulty and faulty-free behavior of the system is represented using multiple models. A non-rectangular grid in the space of the information state is proposed. An approximate Bellman function is represented using the tensor train decomposition and is calculated using the value iteration algorithm.,active fault detection;tensor decomposition;value iteration
12,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00598136%21RIV25-AV0-67985556,Angle-Dependent Analysis and Modeling of Absorption and Structural Colors in Feathers,20201,"Filip, Jiří;Maile, F. J.;Vávra, Radomír","Bird feathers represent one of the most challenging examples of material appearance, driven by a combination of structural properties at different scales. At the microscopic scale, feather appearance is dictated by the anisotropic behavior of directional feather parts. At the nanoscale, some species exhibit structural color due to light diffraction on structures comparable in size to the wavelength of light. In this paper, we capture feathers from four different species, analyze various aspects of their appearance, and suggest its efficient modeling approach.n",Feather;Appearance;Structural color;BTF;BRDF;angle dependency
13,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00597762%21RIV25-AV0-67985556,Applicable Adaptive Discounted Fully Probabilistic Design of Decision Strategy,20205,"Molnárová, Soňa","The work addresses the issue of decreased utility of future rewards, referred to as discounting, while utilizing fully probabilistic design (FPD) of decision strategies. FPD obtains the optimal strategy for decision tasks using only probability distributions, which is its main asset. The standard way of solving decision tasks is provided by Markov decision processes (MDP), which FPD covers as a special case. Methods of solving discounted MDPs have already been introduced. However, the use of FPD might be advantageous when solving tasks with an unknown system model. Due to its probabilistic nature, FPD is able to obtain a more precise estimation of this model. After previously introducing discounting and system model estimation to FPD, the current work examines the effect of discounting on decision processes and its possible advantages when dealing with an unknown system model.",Bayesian estimation;decision making;discounting;forgetting;probabilistic strategy design;supression of aproximate modelling impact
14,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587649%21RIV25-AV0-67985556,Approximation of multistage stochastic programming problems by smoothed quantization,10103,"Šmíd, Martin;Kozmík, Václav","We present an approximation technique for solving multistage stochastic programming problems with an underlying Markov stochastic process. This process is approximated by a discrete skeleton process, which is consequently smoothed down by means of the original unconditional distribution. Approximated in this way, the problem is solvable by means of Markov Stochastic Dual Dynamic Programming. We state an upper bound for the nested distance between the exact process and its approximation and discuss its convergence in the one-dimensional case. We further propose an adjustment of the approximation, which guarantees that the approximate problem is bounded. Finally, we apply our technique to a reallife production-emission trading problem and demonstrate the performance of its approximation given the “true” distribution of the random parameters.",Multistage stochastic programming;Approximation;Markov dependence;SDDP
15,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599015%21RIV25-AV0-67985556,Asymptotic analysis of single-slip crystal plasticity in the limit of vanishing thickness and rigid elasticity,10101,"Engl, D.;Krömer, Stefan;Kružík, Martin","We perform via Γ-convergence a 2d-1d dimension reduction analysis of a single-slip elastoplastic body in large deformations. Rigid plastic and elastoplastic regimes are considered. In particular, we show that limit deformations can essentially freely bend even if subjected to the most restrictive constraints corresponding to the elastically rigid single-slip regime. The primary challenge arises in the upper bound where the differential constraints render any bending without incurring an additional energy cost particularly difficult. We overcome this obstacle with suitable non-smooth constructions and prove that a Lavrentiev phenomenon occurs if wenartificially restrict our model to smooth deformations. This issue is absent if the differential constraints are appropriately softened.",dimension reduction;Γ-convergence;large strain;single-slip elastoplasticity
16,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00603321%21RIV25-AV0-67985556,Automated Tracking and Analysis of Plasma Membrane Dynamics in TIRF-SIM,10201,"Harmanec, Adam;Kadlecová, Z.;Šroubek, Filip",We have proposed a tracking and analysis pipeline of plasma membrane dynamics in TIRF-SIM time-lapse images.,multiobject tracking;convolutional neural network
17,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00583748%21RIV25-AV0-67985556,Avoiding Undesirable Solutions of Deep Blind Image Deconvolution,10201,"Brožová, Antonie;Šmídl, Václav","Blind image deconvolution (BID) is a severely ill-posed optimization problem requiring additional information, typically in the form of regularization. Deep image prior (DIP) promises to model a naturally looking image due to a well-chosen structure of a neural network. The use of DIP in BID results in a significant perfor-mance improvement in terms of average PSNR. In this contribution, we offer qualitative analysis of selected DIP-based methods w.r.t. two types of undesired solutions: blurred image (no-blur) and a visually corrupted image (solution with artifacts). We perform a sensitivity study showing which aspects of the DIP-based algorithms help to avoid which undesired mode. We confirm that the no-blur can be avoided using either sharp image prior or tuning of the hyperparameters of the optimizer. The artifact solution is a harder problem since variations that suppress the artifacts often suppress good solutions as well. Switching to the structural similarity index measure fro m L 2 norm in loss was found to be the most successful approach to mitigate the artifacts.",Blind Image Deconvolution;Deep Image Prior;No-Blur;Variational Bayes
18,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00588431%21RIV25-AV0-67985556,Bayesian methods in neural networks for inverse atmospheric modelling,10201,"Brožová, Antonie;Šmídl, Václav;Tichý, Ondřej","Recovering a source and an amount of an emitted substance from distant measurement is an ill-posed problem. In this contribution, two methods based on Bayes theorem will be compared on a realistic toy problem with microplastics. First of them is a Bayesian neural network pretrained to mimic a lognormal process and second one is hierarchical variational model, where the parameters of the posterior distribution are modeled by a convolutional neural network. Both these approaches allow to incorporate spatial dependency of the locations of the source and offer an estimate of uncertainty to assess the reliability of the method.n",Bayesian methods;mathematical modelling;neural networks
19,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00579211%21RIV25-AV0-67985556,Belief-driven dynamics in a behavioral SEIRD macroeconomic model with sceptics,50202,"Proaño, Ch. R.;Kukačka, Jiří;Makarewicz, T.",The reluctance of a non-trivial fraction of the population to adhere to social distancing measures - and even to get vaccinated - during the COVID-19 pandemic represented a challenge for imposed public health policies in many countries around the world. Against this background we study the impact of boundedly rational perceptions for the dynamics of epidemics such as the COVID-19 pandemic in a standard epidemic model extended by a stylized macroeconomic dimension similar to Atkeson et al. (2021). We illustrate through which channels misperceptions or even “scepticism” concerning the infectiousness of the disease or its mortality rate may undermine the effectiveness of lockdowns and other public health policies in the long-run.,Endogenous cycles;COVID-19 pandemic;Bounded rationality;Heterogenous expectations
20,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00582065%21RIV25-AV0-67985556,Besov-Orlicz Path Regularity of Non-Gaussian Processes,10103,"Čoupek, P.;Ondreját, Martin","Besov-Orlicz regularity of sample paths of stochastic processes that are represented by multiple integrals of order n is treated. Sufficient conditions for the processes to have paths in the exponential Besov-Orlicz spaces are provided. These results are an extension of what is known for scalar Gaussian stochastic processes to stochastic processes in an arbitrary finite Wiener chaos. As an application, the Besov-Orlicz path regularity of fractionally filtered Hermite processes is studied  and some new path properties are obtained even for fractional Brownian motions.",Besov-Orlicz space;Hermite process;multiple Wiener-Ito integral;path regularity
21,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00582343%21RIV25-AV0-67985556,Bipartite secret sharing and staircases,10101,"Csirmaz, Laszlo;Matúš, František;Padró, C.","Bipartite secret sharing schemes have a bipartite access structure in which the set of participants is divided into two parts and all participants in the same part play an equivalent role. Such a bipartite scheme can be described by a staircase: the collection of its minimal points. The complexity of a scheme is the maximal share size relative to the secret size, and the kappa-complexity of an access structure is the best lower bound provided by the entropy method. An access structure is kappa-ideal if it has kappa-complexity 1. Motivated by the abundance of open problems in this area, the main results can be summarized as follows. First, a new characterization of kappa-ideal multipartite access structures is given which offers a straightforward and simple approach to describe ideal bipartite and tripartite access structures. Second, the kappa-complexity is determined for a range of bipartite access structures, including those determined by two points, staircases with equal widths and heights, and staircases with all heights 1. Third, matching linear schemes are presented for some non-ideal cases, including staircases where all heights are 1 and all widths are equal. Finally, finding the Shannon complexity of a bipartite access structure can be considered as a discrete submodular optimization problem. An interesting and intriguing continuous version is defined which might give further insight to the large-scale behavior of these optimization problems.",cryptography;multipartite secret sharing;entropy method;linear secret sharing;submodular optimization
22,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00586485%21RIV25-AV0-67985556,Blind deconvolution decreases requirements on temporal resolution of DCE-MRI: Application to 2nd generation pharmacokinetic modeling,10201,"Jiřík, Radovan;Bartoš, Michal;Standara, M.;Starčuk jr., Zenon;Taxt, T.;Kratochvíla, Jiří","Purpose: Dynamic Contrast-Enhanced (DCE) MRI with 2nd generation pharmacokinetic models provides estimates of plasma flow and permeability surface-area product in contrast to the broadly used 1st generation models (e.g. the Tofts models). However, the use of 2nd generation models requires higher frequency with which the dynamic images are acquired (around 1.5 s per image). Blind deconvolution can decrease the demands on temporal resolution as shown previously for one of the 1st generation models. Here, the temporal-resolution requirements achievable for blind deconvolution with a 2nd generation model are studied. Methods: The 2nd generation model is formulated as the distributed-capillary adiabatic-tissue-homogeneity (DCATH) model. Blind deconvolution is based on Parker's model of the arterial input function. The accuracy and precision of the estimated arterial input functions and the perfusion parameters is evaluated on synthetic and real clinical datasets with different levels of the temporal resolution. Results: The estimated arterial input functions remained unchanged from their reference high-temporalresolution estimates (obtained with the sampling interval around 1 s) when increasing the sampling interval up to about 5 s for synthetic data and up to 3.6-4.8 s for real data. Further increasing of the sampling intervals led to systematic distortions, such as lowering and broadening of the 1st pass peak. The resulting perfusionparameter estimation error was below 10% for the sampling intervals up to 3 s (synthetic data), in line with the real data perfusion-parameter boxplots which remained unchanged up to the sampling interval 3.6 s. Conclusion: We show that use of blind deconvolution decreases the demands on temporal resolution in DCE-MRI from about 1.5 s (in case of measured arterial input functions) to 3-4 s. This can be exploited in increased spatial resolution or larger organ coverage.",DCE-MRI;Blind deconvolution;2nd generation pharmacokinetic model;Temporal resolution
23,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599185%21RIV25-AV0-67985556,Co-Jumping of Treasury Yield Curve Rates,50202,"Baruník, Jozef;Fišer, Pavel","We study the role of co-jumps in the interest rate futures markets. To disentangle continuous part of quadratic covariation from co-jumps, we localize the co-jumps precisely through wavelet coefficients and identify statistically significant ones. Using high frequency data about U.S. and European yield curves we quantify the effect of co-jumps on their correlation structure. Empirical findings reveal much stronger co-jumping behavior of the U.S. yield curves in comparison to the European one. Further, we connect co-jumping behavior to the monetary policy announcements, and study effect of 103 FOMC and 119 ECB announcements on the identified co-jumps during the period from January 2007 to December 2017.",co-jumps;yield curve;wavelets;high frequency data
24,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587782%21RIV25-AV0-67985556,Color Quality Comparison in Spectrally (Un)Correlated Random Field Models,20205,"Havlíček, Michal;Haindl, Michal","We inspect the ability to reproduce spectral (color) composition in random field-based texture models, test when it can neglect spectral correlation, and simplify these random models without visibly depreciating their visual quality. These probabilistic models present essential two or three-dimensional factors for modeling seven-dimensional Bidirectional Texture Function (BTF) - the most advanced representation currently used in real-world material visual properties modeling. They can seamlessly approximate original measured massive data and extend them to an arbitrary size or simulate unmeasured ones. Using extensive test data sets and a small set of setup control parameters, these models reach a vast compression ratio while maintaining the visual quality of measurements, and thus, they are the only viable alternative for BTF practical usage.",Texture Analysis;Texture Synthesis;Texture Color Quality Comparison;Texture Modeling;BTF
25,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00604351%21RIV25-AV0-67985556,Constitutive Model for NiTi Polycrystalline Alloys Undergoing Transformation and Plastic Deformation Processes,10102,"Frost, Miroslav;Sedlák, Petr;Seiner, Hanuš;Valdman, Jan;Moskovka, Alexej;Šittner, Petr","Great attention has been recently paid to the investigation of plastic deformation in NiTi. Experimental investigations of the mechanical response of NiTi polycrystalline samples within a broad stress-strain-temperature state space have revealed a complex response involving martensitic transformation, reorientation, and plastic deformation processes. The interactions between them result in complex coupled phenomena, such as transformation-induced plasticity, martensite stabilization through plastic deformation, and micro-strain heterogeneity induced by plasticity. Plastic deformation in NiTi not only generates irrecoverable strain at the macroscale, but it also induces substantial strain heterogeneity in the microstructure. This heterogeneity significantly affects the functional properties and may open up new technology pathways for designing sophisticated products. Tailored constitutive models that can reproduce the response in complex loading scenarios can be extremely beneficial.",nickel-titanium alloys;constitutive modeling;plasticity;martensite
26,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599050%21RIV25-AV0-67985556,Convex weak concordance measures and their constructions,10103,"Mesiar, Radko;Kolesárová, A.;Sheikhi, A.;Shvydka, S.","Considering the framework of weak concordance measures introduced by Liebscher in 2014, we propose and study convex weak concordance measures. This class of dependence measures contains as a proper subclass the class of all convex concordance measures, introduced and studied by Mesiar et al. in 2022, and thus it also covers the well-known concordance measures as Spearman's ρ, Gini's γ and Blomqvist's β. The class of all convex weak concordance measures also contains, for example, Spearman's footrule ϕ, which is not a concordance measure. In this paper, we first introduce basic convex weak concordance measures built in general by means of a single point (u,v)∈▽={(u,v)∈]0,1[2|u≥v} and its transpose (v,u) only. Then, based on basic convex weak concordance measures and probability measures on the Borel subsets of ▽, two rather general constructions of convex weak concordance measures are proposed, discussed and exemplified. Inspired by Edwards et al., probability measures-based constructions are generalized to Borel measures on B(]0,1[2)-based constructions also allowing some infinite measures to be considered. Finally, it is shown that the presented constructions also cover the mentioned standard (convex weak) concordance measures ρ, γ, β, ϕ and provide alternative formulas for them.",Concordance measure;Convex concordance measure;Convex weak concordance measure;Copula;Random vector
27,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00586424%21RIV25-AV0-67985556,Datasets: Traffic Counts in Prague,10102,"Uglickich, Evženie;Nagy, Ivan;Kumpošt, P.;Richter, P.","This data was provided by the mobile measuring laboratory MobiLab from the Czech Technical University in Prague (https://mobilab.fd.cvut.cz). It presents four data sets with traffic counts measured every minute over a 24-hour period at the following four selected areas in Prague: Stodůlky (September 2021), Barrandov (June 2022), Radlice (September 2022), and Velká Chuchle (October 2022).nnAt each location, 3 to 6 points were chosen where traffic counts were collected in all possible directions along the corresponding road section or intersection. Directions are denoted by numbers 1-4 in the columns of each measured point. This data will be used in the research paper, where detailed information about the traffic counts will be available.  References to the paper will be added later.",traffic counts;datasets;mobile measuring laboratory
28,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599786%21RIV25-AV0-67985556,Discounted fully probabilistic design of decision rules,20204,"Kárný, Miroslav;Molnárová, Soňa","Axiomatic fully probabilistic design (FPD) of optimal decision rules strictly extends the decision making (DM) theory represented by Markov decision processes (MDP). This means that any MDP task can be approximated by an explicitly found FPD task whereas many FPD tasks have no MDP equivalent. MDP and FPD model the closed loop — the coupling of an agent and its environment — via a joint probability density (pd) relating the involved random variables, referred to as behaviour. Unlike MDP, FPD quantifies agent’s aims and constraints by an ideal pd. The ideal pd is high on the desired behaviours, small on undesired behaviours and zero on forbidden ones. FPD selects the optimal decision rules as the minimiser of Kullback-Leibler’s divergence of the closed-loop-modelling pd to its ideal twin. The proximity measure choice follows from the FPD axiomatics. MDP minimises the expected total loss, which is usually the sum of discounted partial losses. The discounting reflects the decreasing importance of future losses. It also diminishes the influence of errors caused by:n▶ the imperfection of the employed environment model.n▶ roughly-expressed aims.n▶ the approximate learning and decision-rules design.nThe established FPD cannot currently account for these important features. The paper elaborates the missing discounted version of FPD. This non-trivial filling of the gap in FPD also employs an extension of dynamic programming, which is of an independent interest.",Design principles;Kullback-Leibler's divergence;Probabilistic techniques;Discounting;Closed loop
29,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00578729%21RIV25-AV0-67985556,Dynamic industry uncertainty networks and the business cycle,50202,"Baruník, Jozef;Bevilacqua, M.;Faff, R.","This paper identifies smoothly varying industry uncertainty networks from option prices that contain valuable information about business cycles, especially in terms of forecasting. Such information is stronger when the network is formed on uncertainty hubs, firms identified as the main contributors to uncertainty shocks. The stronger predictive ability of the hubs-based network is robust to a wide range of checks, the inclusion of a large set of controls, and is also confirmed out-of-sample.",Financial uncertainty;Industry network;Options market;Business cycle
30,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599042%21RIV25-AV0-67985556,Enhancing Bayesian Networks with Psychometric Models,10201,"Pérez Cabrera, Iván;Vomlel, Jiří","Bayesian networks (BNs) are a popular framework in education and other fields. In this paper, we consider two-layer BNs, where the first layer consists of hidden binary variables that are assumed to be independent of each other, and the second layer consists of observed binary variables. The variables in the second layer depend on the variables in the first layer. The dependence is characterized by conditional probability tables, which represent Noisy-AND models. We refer to this class of models as BN2A models. We found that these models are also popular in the psychometric community, where they can be found under the name of Cognitive Diagnostic Models (CDMs), which are used to classify test takers into some latent classes according to the similarity of their responses to test questions. This paper shows the relation between some BN2A models and their corresponding CDMs. In particular, we compare the performance of these models on large-scale tests conducted in the Czech Republic in 2022. The BN2A model with general conditional probability tables produced the best absolute fit. However, when we added monotonic constraints to the General model, we obtained better predictive results.",Bayesian networks;Parameter Learning;Hidden Variables;BN2A models;Cognitive Diagnostic Modeling;Psychometrics
31,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00598807%21RIV25-AV0-67985556,Entropy-Based Search for the Most Informative Belief Functions,10102,"Jiroušek, Radim;Kratochvíl, Václav","The paper deals   with the problem studied in our previous paper published in Int. J. Approx. Reasoning, which raised new questions rather than brought solutions. Thus, the current contribution also tries to answer the ever-lasting question: Which belief function entropies described in the literature can detect optimal models? Nevertheless, here, we approach the problem differently. We try to find out the entropy functions that are indirectly proportional to the informative content of belief functions, i.e., the moreinformative the belief function, the lower its entropy.",belief functions;entropy;information content
32,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00598425%21RIV25-AV0-67985556,Estimation of Conditional Value-at-Risk in Linear Model,10103,"Jurečková, Jana;Picek, J.;Kalina, Jan","The conditional value-at-risk (CVaR) represents a popular risk measure often exploited e.g. within portfolio optimization. The situation with a nuisance linear regression is considered here, in other words, we do not observe directly the loss Z of interest, but only Y=beta _0+Xbeta+Z, where the covariates are not under our control. We propose a novel estimator of CVaR(Z) based on the averaged two-step regression quantile combined with an R-estimate of regression parameters.",conditional-value-at-risk;averaged regression quantile;two-step regression quantile
